"","id","track_name","size_bytes","currency","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num","vpp_lic"
"1890","575147772","LINE PLAY - Your Avatar World",108691456,"USD",0,34677,313,4.5,4.5,"4.9.6","4+","Social Networking",37,5,6,1
"1891","575154654","Pou",40968192,"USD",0,3783,804,4.5,4,"1.4.69","4+","Games",40,5,20,1
"1892","575357589","Christmas Stories: Nutcracker Collector's Edition HD (Full)",611252780,"USD",6.99,259,259,4.5,4.5,"1.0.0","4+","Games",24,5,1,1
"1893","575487269","aerofly FS - Flight Simulator",2251403264,"USD",3.99,1033,211,4.5,4.5,"1.2.1","4+","Games",39,5,1,1
"1894","575590994","Infect Them All 2 : Zombies",42951284,"USD",0.99,2630,1469,5,5,"1.3","12+","Games",43,5,2,1
"1895","575658129","Injustice: Gods Among Us",1829599232,"USD",0,612532,410,4.5,4.5,"2.15.1","12+","Games",39,5,13,1
"1897","575781369","我想有个家",123449344,"USD",0,115,1,4.5,4,"1.2.2","4+","Games",43,5,1,1
"1898","575812869","Dr. Panda Daycare",79133696,"USD",2.99,401,39,4,4.5,"2.4","4+","Education",40,5,15,1
"1899","576443892","InstaLogo Logo Creator - Graphic design maker",123656192,"USD",2.99,6263,172,4.5,4.5,"3.1","4+","Business",37,5,28,1
"1900","576505181","Ingress",126825472,"USD",0,2739,4,3.5,3.5,"1.119.0","9+","Games",38,3,16,1
"1901","576588894","Sky Guide: View Stars Night or Day",175430656,"USD",2.99,22100,1939,5,5,"6.2.2","4+","Reference",37,5,11,1
"1902","576649830","InstaSize: Photo Editor, Picture Effects & Collage",99624960,"USD",0,15605,1288,4,4.5,"4.3.41","4+","Photo & Video",37,1,23,1
"1903","576836614","SpongeBob Moves In",634097664,"USD",2.99,18758,44,4,4,"4.37.7","4+","Games",40,4,9,1
"1904","576939960","Minigore 2: Zombies",138681344,"USD",1.99,3164,107,4.5,4.5,"2.0","17+","Games",37,5,1,1
"1905","576959436","Incredipede",77213696,"USD",3.99,108,10,3,4,"1.76","4+","Games",39,4,1,1
"1907","577232024","Lumosity - Brain Training",214962176,"USD",0,96534,188,4.5,4.5,"9.8","4+","Education",37,5,6,1
"1908","577333970","Checkout 51: Grocery Coupons & Cash Back Savings",18385920,"USD",0,4878,209,4,4.5,"5.6","4+","Shopping",37,0,3,1
"1910","577423493","Retrica - Selfie Camera with Filter, Sticker & GIF",112688128,"USD",0,11021,9,4.5,4.5,"4.1.1","4+","Photo & Video",37,0,16,1
"1911","577499909","TapeACall Pro - Call Recorder For Phone Calls",49825792,"USD",9.99,2951,505,4,5,"3.4.7","4+","Business",11,0,32,1
"1912","577586159","Yahoo Mail - Keeps You Organized!",177899520,"USD",0,113709,18,4,4.5,"4.16.1","4+","Productivity",37,5,45,1
"1913","577628510","TeamSpeak 3",27543552,"USD",4.99,697,8,2.5,3,"3.1.23","17+","Social Networking",38,1,4,1
"1916","578186621","车轮查违章-2017全国车辆违章查询助手",69116928,"USD",0,129,2,4.5,4.5,"6.3.2","4+","Travel",37,5,2,1
"1917","578203499","Bridge Constructor Playground",82499584,"USD",1.99,1628,14,4.5,5,"2.0","4+","Games",38,5,13,1
"1919","578448682","Grand Theft Auto: Vice City",1161168896,"USD",4.99,20113,1153,4,4.5,"1.6","17+","Games",43,3,8,1
"1920","578467798","Fish Out Of Water!",72671232,"USD",0.99,11000,935,4.5,4.5,"1.2.8","4+","Games",38,5,13,1
"1921","578665578","Threema",24925184,"USD",2.99,196,2,4.5,4.5,"2.10.0","4+","Social Networking",37,5,9,1
"1923","578979413","MyScript Calculator - Handwriting calculator",21319680,"USD",0,16555,1776,4.5,4,"1.3.2","4+","Productivity",38,5,11,1
"1925","579446739","Wells Fargo for iPad",67862528,"USD",0,2207,20,2.5,1.5,"2.95","4+","Finance",24,5,2,1
"1926","579581125","SmartNews - Trending News & Stories",26681344,"USD",0,4645,28,4,4.5,"4.1.10","17+","News",37,5,2,1
"1927","579712380","Alarm Clock Sleep Sounds Pro: Guided Meditation for Relaxation Cycle, Hypnosis and insomnia",89534464,"USD",6.99,235,121,4.5,4.5,"2.1","4+","Health & Fitness",38,0,6,1
"1928","580002794","Followers + EA - Analytics for Instagram",19306496,"USD",0.99,482,24,2.5,1,"3.0.2","12+","Social Networking",25,3,29,1
"1929","580069644","通信量チェッカー",12864512,"USD",0,0,0,0,0,"4.0.5","4+","Utilities",37,0,2,1
"1930","580175049","Blitz Brigade: Multiplayer FPS shooter online!",1024388096,"USD",0,41266,153,4.5,3.5,"2.9.1","17+","Games",38,5,11,1
"1932","580758306","一起捕鱼 - 欢乐街机电玩城",110405632,"USD",0,0,0,0,0,"3.9.0","12+","Games",40,0,1,1
"1933","580765736","Megapolis",136165376,"USD",0,28902,92,4.5,4.5,"3.70.20429","4+","Games",38,5,10,1
"1934","580991034","The Silent Age",1522363392,"USD",0,16852,457,4.5,4.5,"2.16","12+","Games",37,5,1,1
"1935","581137577","VoiceTra(Voice Translator)",14505984,"USD",0,0,0,0,0,"5.5","4+","Travel",37,5,4,1
"1936","581463445","Lep's World 3 Plus - the super best platformer games",70962176,"USD",0.99,4678,205,4.5,4,"1.8.4","4+","Games",38,5,19,1
"1937","581585669","Elmo Loves 123s",520400896,"USD",4.99,95,21,3.5,3.5,"1.3.0","4+","Games",24,5,1,1
"1938","581838289","地元の掲示板「ジモティー」地元でカンタン！フリマよりもお得！",108883968,"USD",0,0,0,0,0,"3.0.0","4+","Shopping",37,0,1,1
"1942","581906929","Athletics: Summer Sports (Full Version)",85116928,"USD",0.99,365,3,4.5,4.5,"1.6","4+","Games",37,5,1,1
"1943","581920331","WWF Together",1272736768,"USD",0,1385,25,4.5,4.5,"2.1.5","4+","Education",37,5,5,1
"1945","582284493","Radio - USA",56379392,"USD",0,109,2,4,3,"5.2.4","4+","Entertainment",37,5,15,1
"1946","582431926","Cliff Diving Champ",51728384,"USD",0.99,61,35,4.5,4.5,"1.11","4+","Games",43,5,1,1
"1947","582486077","ElfYourself by Office Depot, Inc.",109844480,"USD",0,12177,184,4,3.5,"5.2.0","4+","Entertainment",37,5,4,1
"1948","582528844","今日头条(专业版) - 推荐热点新闻资讯、娱乐视频",108479488,"USD",0.99,128,0,4.5,0,"6.1.4","17+","News",38,4,2,1
"1949","582538300","TimeStamp Photo with GPS Address Location",671744,"USD",1.99,93,15,2.5,2.5,"6.6","4+","Photo & Video",40,1,1,1
"1950","582654048","Sonic Dash",186687488,"USD",0,418033,419,4.5,4.5,"3.7.1","4+","Games",37,5,7,1
"1951","582719476","Instant Fitness : 600+ exercises, 100+ workouts, home, exercise workout trainer, 7 minute workout, on-the-go personal mobile fitness trainer by Fitness Buddy and Instant Heart Rate",80175104,"USD",9.99,571,214,4.5,4.5,"2.0","4+","Health & Fitness",38,0,1,1
"1952","582790430","SeatGeek – Tickets to Sports, Concerts & Broadway",68196352,"USD",0,6088,196,4.5,5,"4.6.0","4+","Entertainment",37,5,1,1
"1953","582793399","Rocket Video for Google Cast and Chromecast to TV",48523264,"USD",1.99,4806,153,5,4.5,"3.2","17+","Productivity",38,4,5,1
"1954","582934943","途家-全球公寓民宿预订平台",76228608,"USD",0,17,2,4.5,5,"5.32","12+","Travel",37,0,1,1
"1955","583066190","AVP: Evolution",875347968,"USD",2.99,4996,732,4.5,4.5,"3.0","12+","Games",38,5,8,1
"1956","583222866","Deer Hunter Classic",185881600,"USD",0,179111,167,4.5,4.5,"3.4.0","17+","Games",38,5,12,1
"1957","583284315","零基础学音标",319086592,"USD",0.99,12,2,4.5,3,"2.0.2","4+","Education",40,3,2,1
"1958","583308290","Naughty or Nice Scan Free",18944000,"USD",0,729,194,3.5,3.5,"1.6","4+","Entertainment",38,2,2,1
"1959","583446403","Garmin Connect™ Mobile",285233152,"USD",0,8341,156,3,4.5,"3.18","4+","Health & Fitness",37,0,29,1
"1960","583672052","BookScanner App",13821952,"USD",1.99,160,12,4,4,"2.9","4+","Book",37,4,22,1
"1961","583700738","中国移动手机营业厅(中国移动官方)",62429184,"USD",0,82,2,2.5,5,"3.8","4+","Utilities",38,5,1,1
"1963","583976519","Cubasis 2 - Mobile Music Creation System",1032812544,"USD",49.99,297,17,4,4.5,"2.1","4+","Music",24,5,1,1
"1964","584246550","买火车票Pro",4255744,"USD",4.99,14,0,5,0,"4.3.5","4+","Productivity",38,5,1,1
"1965","584485870","ZEDGE™ Ringtones",52864000,"USD",0,9010,165,3.5,1,"3.4.2","12+","Entertainment",37,3,12,1
"1966","584557117","Napster - Top Music & Radio",184817664,"USD",0,14268,80,4,3.5,"5.7.5","12+","Music",37,4,11,1
"1967","584927317","Warbits",185147392,"USD",4.99,1051,43,4.5,5,"1.2","9+","Games",40,5,1,1
"1968","585027354","Google Maps - Navigation & Transit",120232960,"USD",0,154911,1253,4.5,4,"4.31.1","12+","Navigation",37,5,34,1
"1969","585259203","Super Stickman Golf 2",96925696,"USD",0,46859,2808,4.5,4.5,"2.8","4+","Games",38,5,1,1
"1970","585307861","PicTapGo",32724992,"USD",1.99,1175,0,4.5,0,"3.5.2","4+","Photo & Video",37,5,6,1
"1971","585478571","肌年齢診断",2134631,"USD",0,0,0,0,0,"1.0","4+","Entertainment",43,0,2,1
"1972","585512923","Dr. Panda Veggie Garden",159403008,"USD",2.99,124,9,4,4.5,"1.5","4+","Education",40,4,15,1
"1973","585561686","QRコードリーダー for iPhone",4803584,"USD",0,0,0,0,0,"3.1","4+","Productivity",37,3,2,1
"1974","585599497","Ski Jumping Pro",233041920,"USD",0.99,308,56,4,4,"1.3.0","4+","Games",39,5,22,1
"1976","585658160","Wild Kratts Creature Power",100749312,"USD",1.99,155,63,3.5,3.5,"2.46","4+","Games",43,5,1,1
"1977","585801479","iMaps+ for Google Maps ™ and Street View ™ : Transit and Offline Contacts",18010112,"USD",2.99,1225,63,4,4,"4.1.1","4+","Navigation",37,4,1,1
"1978","585880277","Alphabet Aquarium School Adventure Vol 1: Teachme Letters - Animated Puzzle Games for Preschool and Kindergarten Explorers by 22learn",56923703,"USD",1.99,150,120,4,4,"1.2","4+","Games",43,5,1,1
"1979","586076398","Amaziograph",21285888,"USD",0.99,181,14,4,4,"3.0.3","4+","Entertainment",24,5,1,1
"1980","586149216","Monash University Low FODMAP Diet",48359424,"USD",7.99,159,1,3.5,2,"2.0.4","12+","Medical",38,5,2,1
"1981","586157728","火车票Pro for 12306",22281216,"USD",0.99,76,4,5,5,"7.3.3","4+","Travel",38,4,2,1
"1982","586192051","Santa Tracker Christmas Free",49776640,"USD",0,134,11,3.5,3.5,"2.4","4+","Entertainment",37,5,6,1
"1983","586280100","Block Fortress",343504896,"USD",1.99,15430,63,4.5,4.5,"1.6.3","12+","Games",37,5,1,1
"1984","586328581","ABCmouse.com - Early Learning Academy",266735616,"USD",0,18749,119,4.5,4.5,"5.5","4+","Education",38,4,1,1
"1985","586379597","Golf Live Extra",11104256,"USD",0,840,0,3,0,"3.31","4+","Sports",37,1,1,1
"1986","586447913","Microsoft Word",334425088,"USD",0,47999,691,4.5,4.5,"2.1","4+","Productivity",37,5,33,1
"1987","586449534","Microsoft PowerPoint",336831488,"USD",0,10939,92,4,4.5,"2.1","4+","Productivity",37,5,33,1
"1989","586575092","Coin Party: Carnival Pusher",221737984,"USD",0,2057,109,4.5,4.5,"2.6.7","12+","Games",40,5,1,1
"1990","586683407","Microsoft Excel",323411968,"USD",0,24430,357,4.5,4.5,"2.1","4+","Productivity",37,5,33,1
"1991","586803362","ウィズダム英和・和英辞典 2",265569280,"USD",23.99,5,0,5,0,"2.5.1","4+","Reference",37,5,2,1
"1992","586854309","STAR WARS™: FORCE COLLECTION",373793792,"USD",0,3936,3,4,3.5,"5.4.2","4+","Games",38,5,1,1
"1994","586910133","Smart Alarm Clock : sleep cycle & snoring recorder",49837056,"USD",0,3779,14,4,4.5,"8.4","4+","Health & Fitness",37,0,9,1
"1995","587248280","丸亀製麺",15577088,"USD",0,0,0,0,0,"3.0.7","4+","Food & Drink",38,0,2,1
"1996","587366035","PicsArt Photo Studio: Collage Maker & Pic Editor",124726272,"USD",0,29078,6,4.5,4,"9.8","12+","Photo & Video",37,5,21,1
"1997","587823548","1 Second Everyday: Video Diary",114876416,"USD",4.99,2433,10,3.5,4.5,"1.60000.1","4+","Photo & Video",37,0,1,1
"1998","587842308","The Walking Dead: Dead Yourself",109892608,"USD",0,2369,11,4.5,5,"3.4","17+","Entertainment",37,4,8,1
"1999","587849880","Bokeh Lens",3923968,"USD",0.99,206,15,4,4.5,"1.3.6","4+","Photo & Video",37,0,1,1
"2000","587868848","Score Darts",8620032,"USD",3.99,105,28,4.5,4.5,"3.61","4+","Sports",38,5,1,1
"2001","587922128","ProTracker Plus Weight, Calorie & Exercise Tracker",75834368,"USD",2.99,2319,40,4.5,4,"2.1.3","4+","Health & Fitness",37,5,2,1
"2002","588013838","VSCO",98576384,"USD",0,11174,0,3.5,0,"27.0","12+","Photo & Video",37,5,16,1
"2003","588199634","Moto Madness - 3d Motor Bike Stunt Racing Game",32718397,"USD",0.99,13,2,3,3.5,"1.1","4+","Games",43,5,1,1
"2004","588287777","Baidu Videos",142116864,"USD",0,1,1,5,5,"7.8.5","17+","Entertainment",38,0,2,1
"2005","588358613","Drawing Desk - Draw, Paint, Doodle & Sketch board",116443136,"USD",0,11040,644,4,4.5,"5.4.2","4+","Productivity",37,5,11,1
"2007","588682669","Alpaca World HD+",229460992,"USD",0,1191,572,4.5,4.5,"3.2.2","4+","Games",40,3,1,1
"2008","588722840","SportsManias: Sports Emojis, Fantasy & Team News",53601280,"USD",0,2431,14,4.5,4.5,"3.1.18","12+","Sports",37,4,1,1
"2009","588797948","Open Food Facts",6660096,"USD",0,1,1,1,1,"1.31","4+","Food & Drink",37,1,1,1
"2010","588922922","Gym Log+ — Workout and Fitness Tracker",76704768,"USD",4.99,50,0,4,0,"2.28.0","4+","Health & Fitness",37,5,11,1
"2011","589220663","2XL Snocross",141524992,"USD",1.99,181,3,4,3.5,"1.2.1","4+","Games",37,5,5,1
"2012","589351740","H&M",27372544,"USD",0,687,19,3,2.5,"2.21.0","4+","Shopping",37,0,6,1
"2013","589653414","7-Eleven, Inc.",42894336,"USD",0,1356,73,2.5,2.5,"2.3.6","4+","Food & Drink",38,0,1,1
"2014","589779009","METAL SLUG 2",83660800,"USD",2.99,421,174,4.5,4.5,"1.0.2","9+","Games",43,5,2,1
"2015","590190880","ゲオ　クーポンが貰える！ゲーム予約もできる！",34163712,"USD",0,0,0,0,0,"10.12.0","17+","Entertainment",40,0,1,1
"2017","590216134","Plant Nanny - Water Reminder with Cute Plants",74738688,"USD",0,27421,2544,4.5,4.5,"1.9.2","4+","Health & Fitness",38,0,12,1
"2018","590250573","Little Inferno HD",121733120,"USD",4.99,2145,189,4.5,4.5,"1.33","12+","Games",39,5,7,1
"2019","590268705","First Grade Learning Games (School Edition)",22910976,"USD",3.99,7,0,3.5,0,"2.2","4+","Education",37,5,1,1
"2021","590353452","Hardcore Dirt Bike 2",47202304,"USD",1.99,26,3,3,1,"1.1","9+","Games",40,5,1,1
"2023","590652256","Slots Discovery",65385472,"USD",0,754,21,4,4,"6.6","12+","Games",40,5,3,1
"2024","591301867","bloxorz",28262400,"USD",0.99,56,17,4,4,"2.5.0","4+","Games",43,4,16,1
"2025","591560124","Musi - Unlimited Music For YouTube",16686080,"USD",0,25193,245,4.5,5,"5.8.5","17+","Music",37,5,2,1
"2026","591584458","返利-专注网购省钱的APP",72076288,"USD",0,97,0,4,0,"5.11.1","17+","Shopping",38,0,2,1
"2027","591591931","家园7：雪城增强版",47350282,"USD",0.99,3,3,3.5,3.5,"1.0.0","4+","Games",43,5,12,1
"2028","591626572","Endless Alphabet",76482560,"USD",8.99,10534,20,5,5,"3.4","4+","Education",37,4,1,1
"2029","591840203","CARROT To-Do - Talking Task List",7669760,"USD",2.99,11322,10,5,4.5,"5.2.4","9+","Productivity",37,0,1,1
"2030","591923366","Photo and Video Transfer over wifi app",9756672,"USD",2.99,307,152,4.5,4.5,"2.0","4+","Productivity",40,5,6,1
"2031","592331499","BeautyCam - AR Carnie selfie",161335296,"USD",0,2082,12,5,5,"6.0.1","4+","Photo & Video",37,0,6,1
"2032","592371118","サクサクチェッカー 最適化  -  iChecker",33414144,"USD",0,0,0,0,0,"1.9","4+","Entertainment",37,0,1,1
"2033","592447445","Vine Camera",51642368,"USD",0,90355,150,3.5,1.5,"6.0.2","4+","Photo & Video",37,0,25,1
"2034","592682163","Flick Champions Winter Sports",92662784,"USD",0.99,2505,0,4.5,0,"2.9.9","4+","Games",37,5,1,1
"2035","592725830","CloudApp Mobile",15023104,"USD",1.99,130,10,2,1.5,"1.2.3","4+","Productivity",37,0,1,1
"2036","593042008","teamLabBody-3D Motion Human Anatomy-",131316736,"USD",24.99,1,1,1,1,"3.0.4","12+","Medical",38,5,2,1
"2037","593306620","Units Plus Converter - Convert Any Unit & Currency",6323200,"USD",3.99,525,140,4.5,4.5,"2.9","4+","Utilities",38,5,1,1
"2040","593451567","Gin Rummy Pro",68932608,"USD",1.99,1941,154,4.5,4.5,"3.7","4+","Games",43,1,1,1
"2042","593658634","Trenches II",256817152,"USD",0.99,2232,70,4.5,3.5,"1.4","12+","Games",40,5,5,1
"2043","593715088","Solitaire·",24890368,"USD",0,66002,3238,4.5,4.5,"3.1","4+","Games",37,4,18,1
"2044","593828513","天猫HD",213117952,"USD",0,198,2,4.5,1,"5.24.1","17+","Shopping",24,5,2,1
"2045","594117733","仙劍奇俠傳1 DOS懷舊版",308125696,"USD",1.99,104,54,4,4,"1.5","4+","Games",43,5,3,1
"2046","594145971","家計簿マネーフォワード-自動連携で簡単 人気の家計簿",186056704,"USD",0,14,0,5,0,"7.21.2","17+","Finance",37,5,2,1
"2047","594802437","Pearl's Peril - Hidden Object Adventures",278532096,"USD",0,41428,20,4.5,4.5,"2.17","9+","Games",24,5,14,1
"2048","594811233","Star Wars™ Pinball 5",89981952,"USD",1.99,3025,275,4.5,4.5,"1.5","9+","Games",40,2,1,1
"2049","594851821","Bombsquad - Defuse the Bomb",240980992,"USD",4.99,96,0,3,0,"2.0","12+","Games",37,5,1,1
"2050","595098366","4 Bilder 1 Wort",118532096,"USD",0,2,2,2.5,2.5,"7.3.3","12+","Games",37,5,1,1
"2052","595246296","BringGo Western Europe",135656448,"USD",0.99,0,0,0,0,"2.5.5","4+","Navigation",37,0,1,1
"2055","595303942","Baby Care & Dress Up - Love & Have Fun with Babies",123812864,"USD",0,5230,73,4,4.5,"3.4","4+","Games",38,5,11,1
"2056","595558452","4 Pics 1 Word",131642368,"USD",0,80308,489,4.5,4.5,"7.3.3","12+","Games",37,5,1,1
"2058","595689324","Marvel Pinball",87406592,"USD",0.99,2298,63,4,4.5,"1.8","9+","Games",40,2,1,1
"2059","595831580","Temple Run: Oz",218399744,"USD",1.99,14912,151,4,4,"1.7.0","9+","Games",40,5,10,1
"2060","596006531","4 Images 1 Mot",130438144,"USD",0,78,6,4,4,"7.3.3","4+","Games",37,5,1,1
"2061","596026805","PhotoPills",39256064,"USD",9.99,166,16,4.5,5,"2.3.3","4+","Photo & Video",37,5,6,1
"2062","596040849","Theory Test and Hazard Perception Pro",552239104,"USD",3.99,0,0,0,0,"10.2","4+","Education",37,5,1,1
"2063","596133590","Nick",38045696,"USD",0,13237,102,3.5,3.5,"3.2","4+","Entertainment",37,4,13,1
"2064","596402997","Despicable Me: Minion Rush",147123200,"USD",0,464312,444,4.5,4.5,"4.6.0","9+","Games",38,5,16,1
"2065","596677177","Worms3",361828352,"USD",4.99,4422,2200,4,4,"1.16","9+","Games",43,5,8,1
"2066","596684220","Essential Anatomy 5",843794432,"USD",19.99,2747,183,4.5,5,"5.0.3","12+","Medical",37,5,1,1
"2067","596796565","HabitSeed",15147008,"USD",0.99,53,42,4.5,4.5,"1.1.2","4+","Health & Fitness",40,0,25,1
"2069","597426372","Speech Jammer",35823616,"USD",0,1205,2,3,5,"3.1.11","4+","Entertainment",37,2,2,1
"2070","597855590","Real Basketball",70336512,"USD",0,198050,94315,4.5,4.5,"1.9","4+","Games",43,5,1,1
"2071","597986893","Plants vs. Zombies™ 2",98507776,"USD",0,267394,1763,4.5,4.5,"6.0.1","9+","Games",37,5,6,1
"2072","598127498","尚品网 - 全球精品高端时尚购物网站",71242752,"USD",0,0,0,0,0,"3.0.10","4+","Shopping",38,0,2,1
"2073","598241102","Clear Vision 2",34690172,"USD",0.99,10477,10477,4.5,4.5,"1.0","17+","Games",43,0,1,1
"2074","598542901","Perfect Video - Video Editor & Movie Maker (Pro)",20610048,"USD",3.99,594,68,4.5,5,"4.6.1","4+","Photo & Video",37,5,19,1
"2075","598581396","Kingdom Rush Frontiers",292712448,"USD",1.99,6419,531,4.5,5,"1.9.2","9+","Games",40,0,1,1
"2076","598581619","Kingdom Rush Frontiers HD",438824960,"USD",2.99,11447,726,5,5,"1.9.2","9+","Games",24,5,1,1
"2077","598603610","CSR Classics",1080938496,"USD",0,43770,722,4.5,4.5,"2.0.0","4+","Games",38,5,5,1
"2078","599083564","Disney Junior Appisodes",394020864,"USD",0,6009,16,3.5,4,"2.10.0","4+","Entertainment",37,5,2,1
"2079","599456126","Sleep Meister - Sleep Cycle Alarm",16607232,"USD",0.99,34,2,4,5,"1.13.24","4+","Health & Fitness",37,0,2,1
"2080","599456380","Sleep Meister - Sleep Cycle Alarm Lite",23047168,"USD",0,445,12,4.5,5,"1.13.24","4+","Health & Fitness",37,0,2,1
"2081","599515468","Mr. Crab",133768192,"USD",0,9875,33,4.5,4,"1.7.3","4+","Games",37,5,9,1
"2082","599534650","InstaBeauty -Camera&Photo Editor&Pic Collage Maker",88886272,"USD",0,4818,53,4.5,4.5,"2.9.2","4+","Photo & Video",25,5,3,1
"2083","599608562","UNiDAYS: Student Discounts for Shopping Top Brands",67586048,"USD",0,53,1,2.5,5,"6.0.8","4+","Shopping",37,4,15,1
"2084","599664106","FanDuel - Daily Fantasy Baseball, Golf & Sports",89138176,"USD",0,8014,59,4.5,5,"2.16","17+","Sports",37,5,1,1
"2085","599694143","Second Grade Learning Games",20853760,"USD",2.99,322,13,4.5,5,"2.6","4+","Education",37,5,1,1
"2087","599852923","School of Chaos Online MMORPG",209825792,"USD",0,5237,129,4.5,4.5,"1.597","12+","Games",38,5,1,1
"2088","599955633","Minecraft: Papercraft Studio",82397184,"USD",2.99,1044,1,4.5,5,"3.8.0","4+","Games",37,4,1,1
"2089","600093562","LGV Theory Test and Hazard Perception",543456256,"USD",9.99,0,0,0,0,"10.2","4+","Education",37,5,1,1
"2090","600093661","Speakaboos Reading App: Stories & Songs for Kids",76558336,"USD",0,440,23,4,4,"4.4.0","4+","Education",38,5,1,1
"2091","600273928","银联钱包- 银行卡管家，扫码支付享优惠",91323392,"USD",0,9,1,3.5,3,"4.5.3","17+","Finance",37,0,1,1
"2092","600626116","Papa's Burgeria To Go!",43646976,"USD",0.99,570,5,4.5,4,"1.1.2","4+","Games",37,0,16,1
"2093","600674056","Pictoword: Fun 2 Pics Guess What's the Word Trivia",126216192,"USD",0,186089,1010,5,4.5,"2.4.2","4+","Games",37,5,1,1
"2095","601137830","SFind Premium Search for Spotify, YouTube & iTunes",8078336,"USD",2.99,411,11,3,4.5,"1.7","4+","Entertainment",40,2,15,1
"2096","601584735","Junk Jack",161118208,"USD",4.99,6891,34,4.5,4,"3.1","4+","Games",37,5,1,1
"2097","601831815","Ridiculous Fishing - A Tale of Redemption",49524736,"USD",2.99,9095,3789,4.5,4.5,"1.31","12+","Games",43,5,1,1
"2098","602065803","Cover Orange 2: Journey",84934656,"USD",0.99,10604,3488,4.5,4.5,"1.2","4+","Games",43,5,11,1
"2099","602716057","CVS",78570496,"USD",0,12402,338,4.5,4,"1.13","17+","Shopping",24,5,2,1
"2100","603092599","A Beautiful Mess",63549440,"USD",0.99,4251,786,4,4.5,"2.4","4+","Photo & Video",38,5,1,1
"2101","603527166","Smash Hit",97505280,"USD",0,126233,22200,4.5,4.5,"1.4.0","4+","Games",40,5,9,1
"2102","603529731","Sprinkle Islands",48369664,"USD",1.99,2972,1160,4.5,4,"1.1.2","4+","Games",43,5,9,1
"2103","604186826","Racing Rivals",339898368,"USD",0,55548,97,4,3.5,"6.2.3","4+","Games",38,5,8,1
"2104","604376012","Little Inferno",48181248,"USD",2.99,418,52,4,4.5,"1.33","12+","Games",39,0,6,1
"2105","604687408","Get Drunk Not Fat",32999424,"USD",0.99,19,5,2.5,2,"1.4.1","17+","Food & Drink",38,3,1,1
"2106","605040858","Photon Safe Web Browser with Flash Player for Kids",34903040,"USD",4.99,53,2,2.5,3,"6.2","4+","Education",24,3,10,1
"2107","605057245","Pirate Power",112133120,"USD",0,2555,332,4.5,4.5,"1.2.150","9+","Games",38,5,2,1
"2108","605477810","Hunting Simulator",67679232,"USD",2.99,50,9,3.5,2.5,"1.6.9","12+","Sports",43,2,1,1
"2111","606190854","Iron Force",124666880,"USD",0,141634,1655,5,4,"2.4.1","17+","Games",38,5,12,1
"2112","606310581","Facetune",61157376,"USD",3.99,7643,110,4.5,4.5,"2.6.3","4+","Photo & Video",38,0,12,1
"2113","606413051","Solitaire Classic Card Game™",141391872,"USD",0,22079,193,4.5,4,"1.1.0","4+","Games",43,4,1,1
"2114","606800657","RPG AVABEL ONLINE",135512064,"USD",0,10514,86,4.5,5,"4.0.45","9+","Games",38,5,2,1
"2115","606910110","Fireman Sam - Fire & Rescue",215833600,"USD",1.99,38,1,3.5,1,"5.0","4+","Games",40,5,10,1
"2116","607527020","Glow Puzzle",24502272,"USD",1.99,2374,464,4.5,4.5,"2.3.3","4+","Games",43,5,1,1
"2117","608188610","MOLDIV - Photo Editor, Collage & Beauty Camera",120056832,"USD",0,39501,4851,4.5,4.5,"3.2.1","4+","Photo & Video",37,5,18,1
"2118","608206510","Farm Heroes Saga",262421504,"USD",0,187579,286,4.5,4.5,"2.72.16","4+","Games",38,4,14,1
"2119","608263551","腾讯微云HD-安全备份共享文件和照片",61128704,"USD",0,138,0,4,0,"5.1.2","4+","Productivity",24,3,1,1
"2120","608707318","IMPOSSIBLE ROAD",128262144,"USD",2.99,8249,18,4,4.5,"1.3.3","4+","Games",37,5,1,1
"2121","608847384","X-War: Clash of Zombies",42917888,"USD",0,17254,237,5,4.5,"5.4","9+","Games",40,5,3,1
"2122","608899141","Cut the Rope: Time Travel",67177472,"USD",0.99,9003,1038,5,4.5,"1.5.0","4+","Games",40,0,10,1
"2123","608901634","Cut the Rope: Time Travel HD",118273024,"USD",0.99,4294,829,4.5,4.5,"1.5.0","4+","Games",24,5,10,1
"2124","609405853","Dr. Panda Supermarket",138589184,"USD",2.99,342,24,4,4.5,"1.7","4+","Education",40,4,19,1
"2125","609524351","실시간 날씨",5292032,"USD",0,12,0,3.5,0,"1.0.15","4+","Weather",38,0,1,1
"2126","609577016","FINAL FANTASY V",167030784,"USD",14.99,1808,212,4.5,5,"1.1.3","9+","Games",43,5,12,1
"2128","609598558","Alarmy Pro (Sleep If U Can) - Alarm Clock",170882048,"USD",1.99,964,3,4.5,5,"4.2.1","4+","Lifestyle",37,0,32,1
"2129","609636705","Theory Test for Car Drivers - Driving Test Success",65107968,"USD",2.99,1,1,1,1,"5.0.4","4+","Education",38,5,1,1
"2130","609649044","Hazard Perception Mega Pack - Driving Test Success",902940672,"USD",2.99,0,0,0,0,"3.0.2","4+","Education",38,5,1,1
"2131","609704981","Multiplayer for Minecraft PE",33418240,"USD",2.99,35109,26,4,2,"3.01","4+","Games",37,5,1,1
"2132","610003290","Infinity Blade III",3013255168,"USD",0.99,37673,9983,4,4.5,"1.4.2","12+","Games",40,5,18,1
